ActionID,RuleID,ActionType,Target,Value
A001,R-SAFE-001,EXCLUDE_EXERCISE,EX_HANG_MAX,
A002,R-SAFE-001,BLOCK_PROGRESSION,global,TRUE
A003,R-SAFE-001,SHOW_WARNING,global,Dolor de dedos: no realizar carga específica; solicitar valoración profesional si persiste o limita.
A004,R-SAFE-002,BLOCK_PROGRESSION,global,TRUE
A005,R-SAFE-002,SHOW_WARNING,global,Limitación o lesión declarada: el sistema no diagnostica; use retorno supervisado.
A006,R-ELIG-001,INCLUDE_EXERCISE,EX_HANG_MAX,
A007,R-SEL-001,INCLUDE_EXERCISE,EX_CLIMB_EASY,
A008,R-SEL-002,INCLUDE_EXERCISE,EX_PULL,
A009,R-SEL-003,INCLUDE_EXERCISE,EX_PUSH,
A010,R-SEL-004,INCLUDE_EXERCISE,EX_AERO,
A011,R-PRE-001,SET_SETS,global,PARAM:P_MAX_STRENGTH_SETS
A012,R-PRE-001,SET_REST,global,PARAM:P_MAX_STRENGTH_REST
A013,R-PRE-001,SET_RPE,global,PARAM:P_TARGET_RPE
A014,R-PRE-002,SET_RIR,global,2
A015,R-ADAPT-001,TRIGGER_DELOAD,global,TRUE
A016,R-ADAPT-001,BLOCK_PROGRESSION,global,TRUE
A017,R-ADAPT-002,ALLOW_PROGRESSION,global,TRUE
A018,R-TEST-001,SHOW_WARNING,test,T_MIFS20 elegible para seguimiento; use protocolo estandarizado y sin dolor.
