ActionID,RuleID,ActionType,Target,Value
A001,D-SAFE-001,EXCLUDE_EXERCISE,EX_HANG_MAX,
A002,D-SAFE-001,BLOCK_PROGRESSION,global,TRUE
A003,D-SAFE-002,SHOW_WARNING,global,Existe dolor o limitación: reduzca o detenga la carga y consulte a un profesional sanitario cualificado.
A004,D-SEL-001,INCLUDE_EXERCISE,EX_CLIMB_EASY,
A005,D-SEL-002,INCLUDE_EXERCISE,EX_HANG_MAX,
A006,D-PRE-001,SET_SETS,global,PARAM:P_SETS
A007,D-PRE-001,SET_REPS,global,PARAM:P_REPS
A008,D-PRE-001,SET_REST,global,PARAM:P_REST
A009,D-PRE-001,SET_RPE,global,PARAM:P_RPE
A010,D-PREF-001,ALLOW_PROGRESSION,global,TRUE
